Lab,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Community-Based Observation Laboratory (COL),,,,,1,2
Experimental Decision Laboratory (EDL),1,16,20,42,51,69
EEG Hyperscanning Laboratory (EHL),,,,4,1,6
Qualitative Research Laboratory (QRL),4,21,57,83,127,126
Spatial Analysis For Innovation in Health Research Laboratory (SAFIHR),13,23,23,20,18,
Survey and Group Analysis Laboratory (SGAL),18,25,38,44,64,55
Social Network Laboratory (SNL),,,0,2,9,16
"What does ""TSL"" Stand For? (TSL)",,,,,,27
Video Therapy Analysis Laboratory (ViTAL),1,1,11,5,11,9
Multiple Laboratory Collaborations,2,6,7,8,17,29
